axc: 0.40, ayc: 0.37, azc: -0.93, ax: 6514, ay: 6042, az: -15234
mxc: 0.43, mxy: -0.08, mzc: 0.56, mx: 3073, my: -575, mz: 4021

7464  gxc: 34.71, gyc: -14.63, gzc: -67.95, gx: 3967, gy: -1672, gz: -7766
axc: 0.48, ayc: 0.23, azc: -0.75, ax: 7807, ay: 3822, az: -12351
mxc: 0.53, mxy: 0.01, mzc: 0.54, mx: 3779, my: 101, mz: 3831

7693  gxc: -14.48, gyc: 25.86, gzc: 61.70, gx: -1655, gy: 2955, gz: 7051
axc: 0.55, ayc: 0.24, azc: -0.69, ax: 9039, ay: 4014, az: -11310
mxc: 0.54, mxy: -0.04, mzc: 0.53, mx: 3879, my: -268, mz: 3811

7922  gxc: 175.06, gyc: 60.52, gzc: 32.90, gx: 20007, gy: 6916, gz: 3760
axc: 0.36, ayc: -0.06, azc: -0.53, ax: 5851, ay: -932, az: -8655
mxc: 0.47, mxy: 0.05, mzc: 0.55, mx: 3365, my: 368, mz: 3900

8148  gxc: -50.11, gyc: 72.06, gzc: -44.63, gx: -5727, gy: 8236, gz: -5100
axc: 0.23, ayc: 0.47, azc: -1.42, ax: 3761, ay: 7758, az: -23341
mxc: 0.44, mxy: -0.09, mzc: 0.56, mx: 3133, my: -660, mz: 4034

8379  gxc: -49.89, gyc: 78.87, gzc: -6.22, gx: -5702, gy: 9014, gz: -711
axc: 0.32, ayc: 0.30, azc: -0.86, ax: 5184, ay: 4933, az: -14098
mxc: 0.34, mxy: -0.05, mzc: 0.57, mx: 2417, my: -338, mz: 4107

8608  gxc: 24.01, gyc: -83.99, gzc: -96.77, gx: 2744, gy: -9599, gz: -11059
axc: 0.30, ayc: 0.05, azc: -1.05, ax: 4849, ay: 776, az: -17232
mxc: 0.38, mxy: 0.00, mzc: 0.58, mx: 2700, my: 7, mz: 4145

8835  gxc: -67.55, gyc: 51.13, gzc: 46.28, gx: -7720, gy: 5844, gz: 5289
axc: 0.21, ayc: -0.05, azc: -0.76, ax: 3396, ay: -837, az: -12489
mxc: 0.35, mxy: 0.09, mzc: 0.57, mx: 2472, my: 678, mz: 4039

9094  gxc: -70.25, gyc: 6.17, gzc: -10.50, gx: -8028, gy: 705, gz: -1200
axc: 0.27, ayc: 0.31, azc: -0.80, ax: 4446, ay: 5043, az: -13160
mxc: 0.31, mxy: 0.09, mzc: 0.56, mx: 2214, my: 643, mz: 3978

9320  gxc: -91.31, gyc: -31.40, gzc: 39.65, gx: -10435, gy: -3589, gz: 4531
axc: 0.33, ayc: 0.02, azc: -1.20, ax: 5352, ay: 359, az: -19693
mxc: 0.35, mxy: 0.10, mzc: 0.56, mx: 2490, my: 713, mz: 4004

9549  gxc: 34.66, gyc: 54.09, gzc: -41.58, gx: 3961, gy: 6182, gz: -4752
axc: 0.20, ayc: -0.23, azc: -0.86, ax: 3212, ay: -3813, az: -14029
mxc: 0.34, mxy: 0.21, mzc: 0.52, mx: 2417, my: 1527, mz: 3714

9779  gxc: -12.80, gyc: 48.28, gzc: -44.78, gx: -1463, gy: 5518, gz: -5118
axc: -0.05, ayc: -0.25, azc: -0.98, ax: -741, ay: -4128, az: -16076
mxc: 0.24, mxy: 0.20, mzc: 0.51, mx: 1697, my: 1418, mz: 3674

10012  gxc: 65.48, gyc: 36.13, gzc: 7.83, gx: 7483, gy: 4129, gz: 895
axc: -0.46, ayc: -0.12, azc: -0.79, ax: -7528, ay: -1949, az: -12940
mxc: 0.11, mxy: 0.20, mzc: 0.47, mx: 799, my: 1419, mz: 3343

10240  gxc: 111.37, gyc: -2.84, gzc: 9.18, gx: 12728, gy: -325, gz: 1049
axc: -0.35, ayc: -0.01, azc: -0.93, ax: -5741, ay: -122, az: -15168
mxc: 0.15, mxy: 0.11, mzc: 0.52, mx: 1053, my: 818, mz: 3701

10469  gxc: -50.28, gyc: -15.36, gzc: 28.87, gx: -5746, gy: -1755, gz: 3299
axc: 0.01, ayc: 0.03, azc: -0.96, ax: 96, ay: 440, az: -15672
mxc: 0.26, mxy: 0.15, mzc: 0.54, mx: 1860, my: 1091, mz: 3885

10728  gxc: -82.48, gyc: -81.65, gzc: 94.78, gx: -9426, gy: -9331, gz: 10832
axc: 0.18, ayc: -0.17, azc: -0.79, ax: 2939, ay: -2770, az: -13021
mxc: 0.43, mxy: 0.21, mzc: 0.51, mx: 3045, my: 1476, mz: 3656

10962  gxc: 21.73, gyc: 134.83, gzc: 27.41, gx: 2483, gy: 15409, gz: 3133
axc: 0.45, ayc: -0.16, azc: -0.93, ax: 7453, ay: -2586, az: -15180
mxc: 0.47, mxy: 0.25, mzc: 0.47, mx: 3339, my: 1805, mz: 3349

11193  gxc: -83.43, gyc: -69.40, gzc: 196.72, gx: -9535, gy: -7932, gz: 22482
axc: 0.44, ayc: 0.01, azc: -0.81, ax: 7252, ay: 208, az: -13335
mxc: 0.55, mxy: 0.18, mzc: 0.47, mx: 3912, my: 1312, mz: 3368

11424  gxc: 37.97, gyc: 46.75, gzc: 43.01, gx: 4340, gy: 5343, gz: 4915
axc: 0.41, ayc: 0.09, azc: -1.10, ax: 6720, ay: 1412, az: -17956
mxc: 0.64, mxy: -0.00, mzc: 0.47, mx: 4556, my: -4, mz: 3331

11651  gxc: 41.97, gyc: -3.36, gzc: -28.11, gx: 4797, gy: -384, gz: -3213
axc: 0.18, ayc: 0.23, azc: -0.93, ax: 2945, ay: 3716, az: -15313
mxc: 0.55, mxy: -0.06, mzc: 0.53, mx: 3936, my: -400, mz: 3767

11880  gxc: -50.91, gyc: 86.83, gzc: -89.92, gx: -5818, gy: 9923, gz: -10277
axc: 0.23, ayc: 0.21, azc: -0.81, ax: 3814, ay: 3457, az: -13268
mxc: 0.49, mxy: -0.04, mzc: 0.55, mx: 3531, my: -252, mz: 3901

12113  gxc: -1.97, gyc: -34.91, gzc: 20.81, gx: -225, gy: -3990, gz: 2378
axc: -0.22, ayc: 0.40, azc: -0.71, ax: -3541, ay: 6546, az: -11625
mxc: 0.37, mxy: -0.07, mzc: 0.58, mx: 2650, my: -508, mz: 4124

12345  gxc: -10.66, gyc: -86.36, gzc: 32.40, gx: -1218, gy: -9870, gz: 3703
axc: -0.21, ayc: 0.32, azc: -1.05, ax: -3430, ay: 5185, az: -17251
mxc: 0.39, mxy: -0.03, mzc: 0.59, mx: 2766, my: -206, mz: 4179

12610  gxc: 43.44, gyc: 12.52, gzc: -52.05, gx: 4964, gy: 1431, gz: -5948
axc: -0.17, ayc: 0.27, azc: -0.79, ax: -2832, ay: 4410, az: -13005
mxc: 0.38, mxy: -0.05, mzc: 0.58, mx: 2717, my: -384, mz: 4147

12843  gxc: 42.94, gyc: 94.01, gzc: -46.17, gx: 4907, gy: 10744, gz: -5277
axc: -0.26, ayc: 0.54, azc: -1.07, ax: -4233, ay: 8874, az: -17482
mxc: 0.32, mxy: -0.10, mzc: 0.58, mx: 2278, my: -744, mz: 4176

13075  gxc: 128.06, gyc: 162.93, gzc: -167.62, gx: 14635, gy: 18620, gz: -19156
axc: -0.20, ayc: 0.82, azc: -0.27, ax: -3220, ay: 13361, az: -4401
mxc: 0.27, mxy: -0.29, mzc: 0.49, mx: 1946, my: -2100, mz: 3468

13315  gxc: 127.21, gyc: 96.77, gzc: -79.21, gx: 14538, gy: 11059, gz: -9053
axc: -0.05, ayc: 0.78, azc: -0.36, ax: -799, ay: 12839, az: -5969
mxc: 0.27, mxy: -0.40, mzc: 0.35, mx: 1899, my: -2834, mz: 2479

13549  gxc: -87.63, gyc: 57.22, gzc: -93.51, gx: -10015, gy: 6539, gz: -10687
axc: 0.50, ayc: 0.64, azc: -0.09, ax: 8201, ay: 10502, az: -1488
mxc: 0.39, mxy: -0.39, mzc: 0.37, mx: 2807, my: -2806, mz: 2615

13785  gxc: 0.50, gyc: 93.47, gzc: -84.25, gx: 57, gy: 10682, gz: -9629
axc: 0.51, ayc: 0.70, azc: -0.81, ax: 8291, ay: 11530, az: -13309
mxc: 0.40, mxy: -0.37, mzc: 0.40, mx: 2824, my: -2661, mz: 2853

14014  gxc: -14.17, gyc: 21.21, gzc: -6.22, gx: -1619, gy: 2424, gz: -711
axc: 0.26, ayc: 0.74, azc: -0.62, ax: 4283, ay: 12172, az: -10149
